image_id,lat,lon,streetlights,graffiti,building_maintenance,public_transit_stops,pavement_presence,pavement_width,pavement_continuity,safe_walk_alt,pavement_trip_minor,pavement_trip_major,ped_crossing,walk_signal,bike_path,public_park,buffer_presence,buffer_width,buffer_majority,benches,curb_ramp,segment_type,tree_overhead,GEOID
0,38.59123,-90.31924,Ample,No,0,0,Yes,2,No,Yes,1,1,No,No,1,Yes,Yes,2,No,No,No,Residential,high,
1000,38.65206,-90.29224,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,Yes,Residential,high,29510105200
1001,38.65326,-90.29221,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510105200
1002,38.65467,-90.29225,Ample,No,2,1,Yes,2,Yes,Yes,1,1,No,No,2,No,Yes,2,No,No,No,Commercial,high,29510105300
1003,38.6559,-90.29223,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510105300
1004,38.6571,-90.29229,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510105300
1005,38.65828,-90.29224,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510105300
1006,38.66035,-90.29213,Ample,No,2,0,Yes,2,No,Yes,1,1,No,No,1,Yes,Yes,2,No,No,Yes,Residential,high,29510105300
1007,38.66138,-90.29203,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,2,No,Yes,2,No,No,No,Residential,high,29510105300
1008,38.66256,-90.29224,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,Yes,1,No,Yes,2,No,No,Yes,Residential,medium,29510105400
1009,38.66362,-90.29223,Ample,No,0,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510105400
100,38.57659,-90.31091,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102200
1010,38.66545,-90.2923,Ample,No,2,0,Yes,2,Yes,Yes,1,1,Yes,Yes,2,No,Yes,2,No,No,Yes,Residential,medium,29510105400
1011,38.66688,-90.29261,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,INVALID,29510105400
1014,38.56186,-90.29086,Ample,No,0,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102300
1015,38.56318,-90.29113,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102300
1016,38.5643,-90.29087,Some,No,0,0,Yes,2,Yes,Yes,1,0,No,No,2,Yes,Yes,2,No,No,No,Residential,INVALID,29510102300
1018,38.56661,-90.29028,Ample,No,0,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102100
1019,38.56827,-90.29092,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102100
101,38.57791,-90.31099,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,2,No,Yes,2,No,No,No,Residential,medium,29510102200
1020,38.56973,-90.29086,No,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102100
1021,38.5712,-90.29076,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102100
1022,38.57226,-90.29094,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102100
1023,38.57374,-90.29061,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102200
1024,38.5751,-90.29092,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102200
1025,38.5763,-90.29089,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102200
1026,38.57772,-90.29091,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102200
1027,38.57914,-90.29092,Some,No,2,0,Yes,2,Yes,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102200
1028,38.58044,-90.29083,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510102200
1029,38.58177,-90.29089,No,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510102200
102,38.57927,-90.3106,Ample,No,0,0,Yes,2,Yes,Yes,1,1,No,No,2,Yes,Yes,2,No,No,No,Residential,high,29510102200
1030,38.58321,-90.29083,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510114300
1031,38.58445,-90.29083,No,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114300
1032,38.58581,-90.29084,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114300
1033,38.58715,-90.29085,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,INVALID,29510114300
1034,38.58851,-90.29092,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114300
1035,38.58987,-90.29092,Some,No,2,0,Yes,2,No,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114300
1036,38.59121,-90.29082,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114101
1037,38.5926,-90.29088,No,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114101
1038,38.59397,-90.29089,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114101
1039,38.59524,-90.2909,Ample,No,2,0,Yes,2,Yes,Yes,0,0,No,No,1,No,Yes,2,No,No,No,Residential,INVALID,29510114101
103,38.5805,-90.31101,Ample,No,0,0,Yes,2,Yes,Yes,1,1,No,No,2,Yes,Yes,2,No,No,No,Residential,high,29510102200
1040,38.59671,-90.29101,Ample,No,2,0,Yes,2,Yes,Yes,1,1,Yes,No,1,No,Yes,2,No,No,Yes,Residential,high,29510114200
1041,38.59798,-90.29077,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510114200
1042,38.59914,-90.29085,Ample,No,0,0,Yes,2,Yes,Yes,1,0,No,No,1,Yes,Yes,2,No,No,No,Residential,medium,29510114200
1044,38.60186,-90.29089,Ample,No,0,0,Yes,2,Yes,Yes,1,1,No,No,1,Yes,Yes,2,No,No,No,Residential,high,29510127200
1045,38.60354,-90.29075,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,Yes,Yes,2,No,No,No,Residential,high,29510127200
1046,38.60473,-90.29083,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103700
1047,38.60629,-90.29081,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,Yes,Residential,medium,29510103700
1048,38.60762,-90.29083,Some,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103700
1049,38.60874,-90.2908,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,Yes,Residential,high,29510103700
104,38.58184,-90.31123,No,No,0,0,Yes,2,Yes,Yes,1,0,Yes,No,1,Yes,Yes,2,No,No,No,Residential,high,29510102200
1050,38.61015,-90.29083,Ample,No,2,0,Yes,2,No,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,low,29510103700
1051,38.61161,-90.29086,Ample,No,2,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510103700
1052,38.61253,-90.2909,Ample,No,0,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103600
1053,38.61418,-90.29065,Ample,No,2,0,Yes,2,Yes,Yes,1,1,Yes,No,1,Yes,Yes,2,No,No,Yes,Residential,medium,29510103600
1054,38.61554,-90.29085,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103600
1055,38.61702,-90.29023,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510103600
1056,38.61823,-90.29091,Ample,No,0,0,No,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510103600
1057,38.6197,-90.29102,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,medium,29510103600
1058,38.6209,-90.29032,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,Yes,No,Commercial,high,29510103600
1059,38.6221,-90.29085,Ample,No,0,0,Yes,2,Yes,Yes,1,0,No,No,1,No,Yes,2,No,No,No,Residential,high,29510104500
105,38.58313,-90.31142,Ample,No,0,0,No,2,Yes,Yes,1,1,No,No,1,Yes,Yes,2,No,No,No,Residential,high,29510102200
1060,38.62365,-90.29088,Some,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510104500
1061,38.62472,-90.2909,Ample,No,2,0,Yes,2,Yes,Yes,1,1,No,No,1,No,Yes,2,No,No,No,Residential,high,29510104500
