GEOID,n_seg,pop,pct_black,pct_vacant,medinck,streetlights,facade,pavement,continuity,no_hazard,crossing,curb_ramp,canopy
29510123200,56,2878,36.0,6.1,75.23,92.86,57.14,80.36,82.14,35.71,5.36,7.14,53.7
29510124600,82,1720,66.28,20.28,36.92,92.68,63.41,81.71,68.29,20.73,6.1,13.41,57.53
29510125500,61,4502,35.3,15.25,63.69,98.36,93.44,86.89,88.52,13.11,18.03,19.67,49.06
29510104500,108,2270,10.13,19.42,62.92,86.11,88.89,82.41,83.33,29.63,12.04,15.74,65.17
29510106100,56,1555,98.2,29.82,27.35,92.86,82.14,100.0,83.93,25.0,8.93,8.93,74.07
29510105500,68,2636,88.2,26.5,53.88,85.29,85.29,95.59,86.76,48.53,5.88,4.41,58.46
29510105200,42,2925,40.58,12.88,50.48,71.43,76.19,95.24,88.1,23.81,9.52,11.9,56.1
29510105300,57,2127,81.01,12.82,18.66,94.74,91.23,100.0,92.98,45.61,3.51,14.04,57.89
29510105400,38,2498,83.87,15.77,57.63,89.47,86.84,97.37,92.11,26.32,10.53,15.79,51.52
29510104200,62,3450,11.33,12.02,68.24,88.71,88.71,95.16,90.32,19.35,4.84,6.45,72.13
29510103600,71,1360,2.28,13.41,78.82,87.32,80.28,76.06,84.51,25.35,9.86,14.08,50.72
29510105198,57,3556,8.38,8.54,87.92,82.46,84.21,94.74,89.47,33.33,5.26,5.26,56.6
29510106500,54,2802,91.04,33.43,42.2,83.33,77.78,96.3,74.07,24.07,5.56,9.26,48.0
29510106600,51,1186,92.83,35.85,,90.2,84.31,92.16,74.51,17.65,9.8,15.69,60.0
29510106300,58,1230,100.0,45.09,27.66,79.31,62.07,100.0,63.79,25.86,8.62,5.17,70.91
29510107200,39,1015,92.32,36.16,29.73,87.18,71.79,89.74,58.97,35.9,5.13,12.82,56.76
29510106700,70,3347,95.4,38.88,56.17,65.71,65.71,97.14,51.43,22.86,7.14,4.29,51.52
29510107400,60,2048,76.07,29.62,43.88,81.67,66.67,93.33,38.33,23.33,6.67,8.33,79.31
29510107500,53,1539,91.75,34.2,,75.47,71.7,94.34,47.17,7.55,7.55,7.55,63.27
29510107600,57,1659,95.96,29.97,36.56,75.44,57.89,75.44,71.93,26.32,3.51,12.28,82.35
29510111100,65,1944,95.99,21.55,,73.85,72.31,95.38,60.0,30.77,7.69,9.23,68.33
29510111200,56,909,82.62,42.39,50.25,62.5,50.0,98.21,46.43,23.21,5.36,5.36,61.11
